Protein Name,ChEMBL ID
Cyclooxygenase-2,CHEMBL230
Histamine H1 receptor,CHEMBL231
Alpha-1b adrenergic receptor,CHEMBL232
Mu opioid receptor,CHEMBL233
Dopamine D3 receptor,CHEMBL234
Sodium channel protein type I alpha subunit,CHEMBL1845
Amiloride-sensitive sodium channel alpha-subunit,CHEMBL1791
Peroxisome proliferator-activated receptor gamma,CHEMBL235
Vasopressin V1a receptor,CHEMBL1889
Delta opioid receptor,CHEMBL236
Kappa opioid receptor,CHEMBL237
Nociceptin receptor,CHEMBL2014
Prostanoid FP receptor,CHEMBL1987
Prostanoid EP2 receptor,CHEMBL1881
Prostanoid IP receptor,CHEMBL1995
Serotonin 3a (5-HT3a) receptor,CHEMBL1899
Glucagon receptor,CHEMBL1985
Secretin receptor,CHEMBL1925
Vasopressin V1b receptor,CHEMBL1921
Xanthine dehydrogenase,CHEMBL1929
Voltage-gated calcium channel alpha2/delta subunit 1,CHEMBL1919
Thiazide-sensitive sodium-chloride cotransporter,CHEMBL1876
Gamma-amino-N-butyrate transaminase,CHEMBL2044
Melanocortin receptor 2,CHEMBL1965
Dopamine transporter,CHEMBL238
Dihydroorotate dehydrogenase,CHEMBL1966
Growth hormone-releasing hormone receptor,CHEMBL2032
Parathyroid hormone receptor,CHEMBL1793
Glutamate (NMDA) receptor subunit zeta 1,CHEMBL2015
Synaptic vesicular amine transporter,CHEMBL1893
Peroxisome proliferator-activated receptor alpha,CHEMBL239
Sulfonylurea receptor 1,CHEMBL2071
HERG,CHEMBL240
Glutamate [NMDA] receptor subunit epsilon 1,CHEMBL1972
Sodium-(potassium)-chloride cotransporter 2,CHEMBL1874
Serotonin 4 (5-HT4) receptor,CHEMBL1875
Voltage-gated L-type calcium channel alpha-1C subunit,CHEMBL1940
Phosphodiesterase 3A,CHEMBL241
Thioredoxin reductase 1,CHEMBL1927
Estrogen receptor beta,CHEMBL242
Equilibrative nucleoside transporter 1,CHEMBL1997
Purinergic receptor P2Y12,CHEMBL2001
Cysteinyl leukotriene receptor 1,CHEMBL1798
Cyclophilin A,CHEMBL1949
B-lymphocyte antigen CD20,CHEMBL2058
Interleukin-2 receptor alpha chain,CHEMBL1778
Glutamate carboxypeptidase II,CHEMBL1892
TNF-alpha,CHEMBL1825
Vascular endothelial growth factor A,CHEMBL1783
Receptor protein-tyrosine kinase erbB-2,CHEMBL1824
Leukocyte adhesion glycoprotein LFA-1 alpha,CHEMBL1803
Coagulation factor IX,CHEMBL2016
Coagulation factor X,CHEMBL244
TNF-beta,CHEMBL2059
T-cell surface antigen CD2,CHEMBL2040
Platelet-derived growth factor receptor beta,CHEMBL1913
Interleukin-1 receptor,CHEMBL1959
Interferon-alpha/beta receptor alpha chain,CHEMBL1887
Erythropoietin receptor,CHEMBL1817
CAMPATH-1 antigen,CHEMBL1912
Interleukin 11 receptor alpha,CHEMBL2050
Granulocyte colony stimulating factor receptor,CHEMBL1996
Elastase 1,CHEMBL3000
Muscarinic acetylcholine receptor M4,CHEMBL1821
Muscarinic acetylcholine receptor M5,CHEMBL2035
Alpha-2b adrenergic receptor,CHEMBL1942
Alpha-2c adrenergic receptor,CHEMBL1916
Muscarinic acetylcholine receptor M3,CHEMBL245
Dopamine D5 receptor,CHEMBL1850
GABA receptor beta-2 subunit,CHEMBL1920
Glutamate [NMDA] receptor subunit epsilon 2,CHEMBL1904
Ryanodine receptor 3,CHEMBL2062
Vitamin k epoxide reductase complex subunit 1 isoform 1,CHEMBL1930
Beta-3 adrenergic receptor,CHEMBL246
Serotonin 2b (5-HT2b) receptor,CHEMBL1833
Ig epsilon chain C region,CHEMBL1834
Lipoprotein lipase,CHEMBL2060
T-cell surface glycoprotein CD3 epsilon chain,CHEMBL1975
Insulin-like growth factor I receptor,CHEMBL1957
Leukocyte elastase,CHEMBL248
Neprilysin,CHEMBL1944
Leukotriene A4 hydrolase,CHEMBL4618
Stem cell growth factor receptor,CHEMBL1936
Retinoic acid receptor gamma,CHEMBL2003
3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,CHEMBL1958
Aldose reductase,CHEMBL1900
Aminopeptidase N,CHEMBL1907
Atrial natriuretic peptide receptor A,CHEMBL1988
Renal dipeptidase,CHEMBL1989
Thromboxane A2 receptor,CHEMBL2069
Endothelin receptor ET-B,CHEMBL1785
Thromboxane-A synthase,CHEMBL1835
Endothelin receptor ET-A,CHEMBL252
Neurokinin 1 receptor,CHEMBL249
Platelet activating factor receptor,CHEMBL250
Adenosine A2a receptor,CHEMBL251
Cannabinoid CB2 receptor,CHEMBL253
Thyrotropin-releasing hormone receptor,CHEMBL1810
Prostanoid EP1 receptor,CHEMBL1811
Prostanoid EP4 receptor,CHEMBL1836
Thrombopoietin receptor,CHEMBL1864
Retinoid X receptor gamma,CHEMBL2004
Vesicular amine transporter 1,CHEMBL1838
Retinoic acid receptor beta,CHEMBL2008
Thyroid hormone receptor beta-1,CHEMBL1947
Ornithine decarboxylase,CHEMBL1869
Retinoid X receptor alpha,CHEMBL2061
Phosphodiesterase 4A,CHEMBL254
Retinoid X receptor beta,CHEMBL1870
Adenosine A2b receptor,CHEMBL255
Serotonin 1f (5-HT1f) receptor,CHEMBL1805
Adenosine A3 receptor,CHEMBL256
Calcium sensing receptor,CHEMBL1878
Succinate semialdehyde dehydrogenase,CHEMBL1911
"Potassium channel, inwardly rectifying, subfamily J, member 11",CHEMBL1886
Ceramide glucosyltransferase,CHEMBL2063
DNA (cytosine-5)-methyltransferase 1,CHEMBL1993
DNA (cytosine-5)-methyltransferase 3A,CHEMBL1992
Tubulin alpha-1 chain,CHEMBL2070
Niemann-Pick C1-like protein 1,CHEMBL2027
Neutral sphingomyelinase,CHEMBL4712
Cathepsin D,CHEMBL2581
"Carboxypeptidase N, catalytic subunit",CHEMBL4713
Cyclin A2,CHEMBL2582
Orexin receptor 1,CHEMBL5113
Pyrimidinergic receptor P2Y6,CHEMBL4714
Cysteinyl leukotriene receptor 2,CHEMBL4330
Phosphodiesterase 7B,CHEMBL4716
Pepsinogen C,CHEMBL2136
"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform",CHEMBL4763
Proto-oncogene c-JUN,CHEMBL4977
Apolipoprotein B-100,CHEMBL4549
Bcl2-antagonist of cell death (BAD),CHEMBL3817
Bradykinin B2 receptor,CHEMBL3157
Insulin-like growth factor binding protein 6,CHEMBL2139
Interleukin-8,CHEMBL2157
Trypsin II,CHEMBL3159
Casein kinase II alpha,CHEMBL3629
ADP-ribosyltransferase,CHEMBL2158
Nucleoside diphosphate kinase 1,CHEMBL2159
Nucleoside diphosphate kinase 2,CHEMBL2160
Death-associated protein kinase 3,CHEMBL2468
HLA class II histocompatibility antigen DRB3-1,CHEMBL3460
Glutathione transferase omega 2,CHEMBL2161
Uridine-cytidine kinase 2,CHEMBL2469
DNA-dependent protein kinase,CHEMBL3142
Kallikrein 2,CHEMBL2442
Kallikrein 7,CHEMBL2443
Gastric lipase,CHEMBL1796
Chymase,CHEMBL4068
1-acylglycerol-3-phosphate O-acyltransferase alpha,CHEMBL3583
Serine/threonine protein phosphatase PP1-alpha catalytic subunit,CHEMBL2164
Cyclin H,CHEMBL2165
Deoxycytidine kinase,CHEMBL2447
Peptide deformylase mitochondrial,CHEMBL4647
Dihydropyrimidinase,CHEMBL2465
Transforming protein p21/H-Ras-1,CHEMBL2167
Immunoglobulin epsilon Fc receptor,CHEMBL2940
Acidic fibroblast growth factor,CHEMBL2120
5-lipoxygenase activating protein,CHEMBL4550
Folate receptor alpha,CHEMBL2121
Geranylgeranyl pyrophosphate synthetase,CHEMBL4769
Transcription initiation factor IIA alpha and bTranscription initiation factor IIA alpha and beta chains,CHEMBL4832
MAP kinase p38 beta,CHEMBL3961
Trypsin III,CHEMBL4551
Folate transporter 1,CHEMBL4833
Alcohol sulfotransferase,CHEMBL2077
"Thymidine kinase, cytosolic",CHEMBL2883
Cytosolic phospholipase A2 gamma,CHEMBL4834
Caspase-3,CHEMBL2334
Cellular retinoic acid-binding protein I,CHEMBL2079
Estrogen-related receptor alpha,CHEMBL3429
LDL-associated phospholipase A2,CHEMBL3514
Carbonic anhydrase III,CHEMBL2885
Tyrosine-protein kinase LCK,CHEMBL258
L-lactate dehydrogenase A chain,CHEMBL4835
Melanocortin receptor 4,CHEMBL259
Neuropeptide Y receptor type 4,CHEMBL4877
Bone morphogenetic protein 1,CHEMBL3898
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 2,CHEMBL4923
Cytochrome P450 1B1,CHEMBL4878
Fatty acid binding protein intestinal,CHEMBL4879
Hypoxanthine-guanine phosphoribosyltransferase,CHEMBL2360
Voltage-gated potassium channel beta subunit Mink,CHEMBL4872
Phosphoglycerate kinase 1,CHEMBL2886
Triosephosphate isomerase,CHEMBL4880
Serum paraoxonase/arylesterase 1,CHEMBL3167
Hemoglobin alpha subunit,CHEMBL2887
Glutathione S-transferase Mu 1,CHEMBL2081
Alcohol dehydrogenase class III,CHEMBL4116
Aldehyde dehydrogenase X,CHEMBL4881
Cytochrome P450 2C8,CHEMBL3721
Metabotropic glutamate receptor 3,CHEMBL2888
Glutathione S-transferase Mu 2,CHEMBL4589
Quinone reductase 2,CHEMBL3959
Pyruvate dehydrogenase E1 component beta subunit,CHEMBL4882
Calcineurin B alpha,CHEMBL2082
Phosphodiesterase 1A,CHEMBL3421
Urokinase plasminogen activator surface receptor,CHEMBL4883
Somatostatin receptor 4,CHEMBL1853
Neurokinin 2 receptor,CHEMBL2327
Adenosine kinase,CHEMBL3589
Carbonic anhydrase VI,CHEMBL3025
Caspase-2,CHEMBL4884
MAP kinase p38 alpha,CHEMBL260
Fatty acid binding protein adipocyte,CHEMBL2083
Galanin receptor 1,CHEMBL4894
Adenylate kinase 2,CHEMBL4938
Asialoglycoprotein receptor 1,CHEMBL2084
Carbonic anhydrase I,CHEMBL261
Carboxypeptidase A2,CHEMBL4939
Cellular retinoic acid-binding protein II,CHEMBL2692
Glycogen synthase kinase-3 beta,CHEMBL262
Voltage-gated potassium channel subunit Kv1.5,CHEMBL4306
L-lactate dehydrogenase B chain,CHEMBL4940
Macrophage migration inhibitory factor,CHEMBL2085
S-methyl-5-thioadenosine phosphorylase,CHEMBL4941
P2X purinoceptor 5,CHEMBL4942
DNA polymerase beta,CHEMBL2392
cAMP-dependent protein kinase beta-1 catalytic subunit,CHEMBL2918
Kallikrein 12,CHEMBL4943
Serotonin 7 (5-HT7) receptor,CHEMBL3155
Coagulation factor VIII,CHEMBL3143
Protein kinase C zeta,CHEMBL3438
Subtilisin/kexin type 4,CHEMBL4861
Xaa-Pro aminopeptidase 1,CHEMBL3782
Choline acetylase,CHEMBL4039
Matrix metalloproteinase 26,CHEMBL4707
GABA-B receptor 1,CHEMBL2064
Dual specificity mitogen-activated protein kinase kinase 6,CHEMBL2171
Caspase-8,CHEMBL3776
"Myosin light chain kinase, smooth muscle",CHEMBL2428
FK506-binding protein 1B,CHEMBL2430
T-cell protein-tyrosine phosphatase,CHEMBL3807
Vanilloid receptor,CHEMBL4794
Casein kinase I gamma 1,CHEMBL2426
Fibroblast growth factor receptor 2,CHEMBL4142
Fibroblast growth factor receptor 1,CHEMBL3650
"AMP-activated protein kinase, beta-1 subunit",CHEMBL3847
Serine/threonine-protein kinase MST2,CHEMBL4708
Glyoxalase I,CHEMBL2424
Indolethylamine N-methyltransferase,CHEMBL2131
Histamine H3 receptor,CHEMBL264
Presenilin 2,CHEMBL3708
Ubiquinol-cytochrome C reductase complex 7.2 kDa protein,CHEMBL2388
Methionine aminopeptidase 1,CHEMBL2474
Carboxypeptidase B2 isoform A,CHEMBL3419
Prostanoid EP3 receptor,CHEMBL3710
Acetyl-CoA carboxylase 1,CHEMBL3351
Lysosomal Pro-X carboxypeptidase,CHEMBL2335
Dual specificity phosphatase Cdc25A,CHEMBL3775
Polyamine oxidase,CHEMBL2105
"AMP-activated protein kinase, gamma-1 subunit",CHEMBL2393
Phospholipase A2 group IIC,CHEMBL2097
Mucosal addressin cell adhesion molecule-1,CHEMBL4467
TAR RNA binding protein 2,CHEMBL2098
Casein kinase I delta,CHEMBL2828
"Alcohol dehydrogenase, iron containing 1",CHEMBL4947
Dual specificity mitogen-activated protein kinase kinase 5,CHEMBL4948
Glutathione S-transferase A1,CHEMBL3409
Prostate specific antigen,CHEMBL2099
Glutathione S-transferase zeta 1,CHEMBL4949
Glutathione S-transferase Mu 4,CHEMBL2100
Cathepsin B,CHEMBL4072
Small conductance calcium-activated potassium channel protein 2,CHEMBL4469
CaM kinase II beta,CHEMBL4121
Voltage-gated potassium channel subunit Kv7.2,CHEMBL2476
P2X purinoceptor 4,CHEMBL2104
P2X purinoceptor 7,CHEMBL4805
Protein phosphatase 2C beta,CHEMBL2845
Protein phosphatase 2A regulatory subunit B',CHEMBL2505
PI3-kinase p85-alpha subunit,CHEMBL2506
"Glutamate receptor ionotropic, AMPA 3",CHEMBL3595
Fructose-bisphosphate aldolase A,CHEMBL2106
Tyrosine-protein kinase SRC,CHEMBL267
Cholecystokinin A receptor,CHEMBL1901
C-X-C chemokine receptor type 4,CHEMBL2107
Cyclin T1,CHEMBL2108
Neuropeptide Y receptor type 1,CHEMBL4777
T-cell surface antigen CD4,CHEMBL2754
Neuropeptide Y receptor type 2,CHEMBL4018
Dual specificity mitogen-activated protein kinase kinase 3,CHEMBL2109
Cyclin-dependent kinase 6,CHEMBL2508
Neurotensin receptor 2,CHEMBL2514
Cathepsin F,CHEMBL2517
Cathepsin G,CHEMBL4071
Cathepsin K,CHEMBL268
Cathepsin L,CHEMBL3837
Corticosteroid binding globulin,CHEMBL2421
Carboxypeptidase A1,CHEMBL2088
Carboxypeptidase M,CHEMBL3038
NADH-ubiquinone oxidoreductase 49 kDa subunit,CHEMBL3039
CDC45-related protein,CHEMBL3040
Voltage-gated N-type calcium channel alpha-1B subunit,CHEMBL4478
Cholesteryl ester transfer protein,CHEMBL3572
G2/mitotic-specific cyclin B1,CHEMBL2412
G1/S-specific cyclin D1,CHEMBL3610
Serine/threonine-protein kinase Chk2,CHEMBL2527
Butyrylcholinesterase,CHEMBL1914
P2X purinoceptor 1,CHEMBL2094
P2X purinoceptor 2,CHEMBL2531
Pyrimidinergic receptor P2Y4,CHEMBL2123
Leukotriene B4 receptor 1,CHEMBL3911
Purinergic receptor P2Y1,CHEMBL4315
C-C chemokine receptor type 1,CHEMBL2413
C-C chemokine receptor type 3,CHEMBL3473
Voltage-gated potassium channel subunit Kv1.2,CHEMBL2086
Voltage-gated potassium channel subunit Kv1.3,CHEMBL4633
"Serine/threonine protein phosphatase 2A, catalytic subunit, beta isoform",CHEMBL2435
Oligopeptide transporter small intestine isoform,CHEMBL4605
Protein phosphatase 2C alpha,CHEMBL2437
Eosinophil peroxidase,CHEMBL2438
Myeloperoxidase,CHEMBL2439
Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit,CHEMBL271
Protein farnesyltransferase beta subunit,CHEMBL272
C-C chemokine receptor type 4,CHEMBL2414
C-C chemokine receptor type 5,CHEMBL274
Cytosolic phospholipase A2,CHEMBL3816
Phosphodiesterase 1B,CHEMBL4425
Phospholipase A2 group IIA,CHEMBL3474
Group IIE secretory phospholipase A2,CHEMBL2154
Plasminogen activator inhibitor-1,CHEMBL3475
Phosphodiesterase 2A,CHEMBL2652
Phosphodiesterase 4B,CHEMBL275
Phosphodiesterase 6D,CHEMBL3860
Acetyl-CoA carboxylase 2,CHEMBL4829
3-phosphoinositide dependent protein kinase-1,CHEMBL2534
Serotonin 1e (5-HT1e) receptor,CHEMBL2182
Serotonin 5a (5-HT5a) receptor,CHEMBL3426
Serotonin 6 (5-HT6) receptor,CHEMBL3371
Neuronal acetylcholine receptor protein alpha-7 subunit,CHEMBL2492
Neuronal acetylcholine receptor protein alpha-9 subunit,CHEMBL2184
Acetylcholine receptor protein epsilon chain,CHEMBL2484
Neuronal acetylcholine receptor protein beta-2 subunit,CHEMBL1883
Proteinase-activated receptor 1,CHEMBL3974
Beta amyloid A4 protein,CHEMBL2487
"AMP-activated protein kinase, alpha-2 subunit",CHEMBL2116
"AMP-activated protein kinase, beta-2 subunit",CHEMBL2117
"AMP-activated protein kinase, gamma-2 subunit",CHEMBL2453
Diamine oxidase,CHEMBL2118
Neuronal acetylcholine receptor protein alpha-4 subunit,CHEMBL1882
Beta secretase 2,CHEMBL2525
Beta-galactosidase,CHEMBL2522
Sialidase 2,CHEMBL3200
Bombesin receptor subtype-3,CHEMBL4080
Nicastrin,CHEMBL3418
Complement C1s,CHEMBL3913
Alcohol dehydrogenase class IV,CHEMBL3867
Angiotensin II type 2 (AT-2) receptor,CHEMBL4607
Alpha-galactosidase A,CHEMBL2524
Aryl hydrocarbon receptor,CHEMBL3201
Serine/threonine-protein kinase AKT2,CHEMBL2431
Serine/threonine-protein kinase AKT3,CHEMBL4816
Serum albumin,CHEMBL3253
Methionine aminopeptidase 2,CHEMBL3922
Aminopeptidase B,CHEMBL2432
Pancreatic alpha-amylase,CHEMBL2045
Salivary alpha-amylase,CHEMBL2478
Atrial natriuretic peptide receptor B,CHEMBL1795
G-protein coupled receptor kinase 2,CHEMBL4079
Cerebroside-sulfatase,CHEMBL2193
N-acetylgalactosamine-4-sulfatase,CHEMBL2399
Arylamine N-acetyltransferase 2,CHEMBL2194
Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,CHEMBL2401
Activating transcription factor 1,CHEMBL3255
Tyrosine aminotransferase,CHEMBL3043
Prohormone convertase 2,CHEMBL2433
AICAR transformylase,CHEMBL2518
Beta-glucocerebrosidase,CHEMBL2179
Neutral alpha-glucosidase AB,CHEMBL2519
Neutral alpha-glucosidase C,CHEMBL2520
Geranylgeranyl transferase type I beta subunit,CHEMBL4135
Cytochrome P450 4F2,CHEMBL3379
Phenylalanine-4-hydroxylase,CHEMBL3076
Thiamine transporter 1,CHEMBL3079
Inhibitor of nuclear factor kappa B kinase alpha subunit,CHEMBL3476
Inhibitor of nuclear factor kappa B kinase beta subunit,CHEMBL1991
Chitinase 1,CHEMBL3080
Protein-tyrosine phosphatase G1,CHEMBL3236
Carnitine palmitoyltransferase 2,CHEMBL3238
Brain glycogen phosphorylase,CHEMBL3856
Transketolase,CHEMBL4983
Interleukin-2 receptor beta chain,CHEMBL3276
Interleukin-8 receptor B,CHEMBL2434
Fucosyltransferase 9,CHEMBL4985
Uracil-DNA glycosylase,CHEMBL3277
Death-associated protein kinase 2,CHEMBL3123
Lysosomal phospholipase A2,CHEMBL4986
Serine/threonine-protein kinase Aurora-B,CHEMBL2185
Ribosomal protein S6 kinase alpha 4,CHEMBL3125
C3a anaphylatoxin chemotactic receptor,CHEMBL4761
Tubulin beta-5 chain,CHEMBL5444
Porphobilinogen synthase,CHEMBL3126
Corticotropin releasing factor receptor 2,CHEMBL4069
Phospholipase C-delta-1,CHEMBL3727
HLA class I histocompatibility antigen A-3,CHEMBL2632
Low affinity neurotrophin receptor p75NTR,CHEMBL4762
Tumor necrosis factor receptor R1,CHEMBL3378
Lysophosphatidic acid receptor Edg-2,CHEMBL3819
Sphingosine 1-phosphate receptor Edg-6,CHEMBL3230
Protein tyrosine phosphatase receptor type C-associated protein,CHEMBL4806
Rho-associated protein kinase 1,CHEMBL3231
Lysophosphatidic acid receptor Edg-4,CHEMBL3724
Adenomatous polyposis coli protein,CHEMBL3233
Voltage-gated L-type calcium channel alpha-1S subunit,CHEMBL3805
Acetylcholine receptor protein alpha chain,CHEMBL4808
Prostatic acid phosphatase,CHEMBL2633
Trehalase,CHEMBL3087
Terminal deoxynucleotidyltransferase,CHEMBL4810
Uridine phosphorylase 1,CHEMBL4811
Kallikrein 8,CHEMBL4812
Kallikrein 11,CHEMBL3031
Serine/threonine-protein kinase PIM1,CHEMBL2147
Protein kinase N2,CHEMBL3032
Tyrosine-protein kinase CSK,CHEMBL2634
Phospholipase D1,CHEMBL2536
Tyrosine-protein kinase JAK3,CHEMBL2148
Ribosomal protein S6 kinase alpha 5,CHEMBL4237
Phenylalanyl-tRNA synthetase mitochondrial,CHEMBL2511
Kallikrein 13,CHEMBL4863
Kallikrein 14,CHEMBL2641
Hypoxia-inducible factor prolyl hydroxylase 1,CHEMBL3028
Adenylate cyclase type III,CHEMBL3164
Serotransferrin,CHEMBL4865
Leukotriene B4 receptor 2,CHEMBL3191
Histone deacetylase 8,CHEMBL3192
Glutathione S-transferase A3,CHEMBL4866
Purinergic receptor P2Y11,CHEMBL4867
Protein kinase C epsilon,CHEMBL3582
Protein kinase C gamma,CHEMBL2938
Protein kinase C nu,CHEMBL2595
Prion protein,CHEMBL4869
"Potassium channel, inwardly rectifying, subfamily J, member 8",CHEMBL4770
Integrin alpha-4,CHEMBL278
Tubulin beta-3 chain,CHEMBL2597
Adenylate cyclase type IX,CHEMBL2655
Pyruvate dehydrogenase kinase isoform 2,CHEMBL3861
Sphingosine kinase 2,CHEMBL3023
Protein kinase C iota,CHEMBL2598
Protein kinase C mu,CHEMBL3863
Serine/threonine-protein kinase RAF,CHEMBL1906
Tyrosine-protein kinase SYK,CHEMBL2599
Serine/threonine-protein kinase PLK1,CHEMBL3024
Beta-chymotrypsin,CHEMBL4796
Chymotrypsin-like protease CTRL-1,CHEMBL4873
Phenylethanolamine N-methyltransferase,CHEMBL4617
Adenylosuccinate synthetase 2,CHEMBL4875
Integrin beta-7,CHEMBL2979
Tyrosine-protein kinase ITK/TSK,CHEMBL2959
Tyrosine-protein kinase JAK1,CHEMBL2835
Kynureninase,CHEMBL5100
Carboxypeptidase B,CHEMBL2552
Urotensin II receptor,CHEMBL3764
Ribosomal protein S6 kinase alpha 1,CHEMBL2553
LDL receptor,CHEMBL3311
Adenylate cyclase type VIII,CHEMBL2960
Tyrosine-protein kinase JAK2,CHEMBL2971
Ribosomal protein S6 kinase alpha 6,CHEMBL4924
Phosphofructokinase platelet type,CHEMBL2972
Adenylate kinase 1,CHEMBL4925
Adenylate kinase 4,CHEMBL4926
cAMP-dependent protein kinase type I-alpha regulatory subunit,CHEMBL4928
Histone deacetylase 10,CHEMBL5103
Sphingosine 1-phosphate receptor Edg-3,CHEMBL3892
Vacuolar ATP synthase subunit S1,CHEMBL4790
Hepatic lipase,CHEMBL2127
"Arachidonate 15-lipoxygenase, type II",CHEMBL2457
Casein kinase I epsilon,CHEMBL4937
CaM kinase I alpha,CHEMBL2493
CaM kinase IV,CHEMBL2494
Lysosomal alpha-glucosidase,CHEMBL2608
Lysyl oxidase,CHEMBL2249
Vascular endothelial growth factor receptor 1,CHEMBL1868
Vascular endothelial growth factor receptor 2,CHEMBL279
Neurokinin 3 receptor,CHEMBL4429
NAALADase II,CHEMBL2609
Neuromedin B receptor,CHEMBL3636
Intermediate conductance calcium-activated potassium channel protein 4,CHEMBL4305
Creatine kinase M,CHEMBL2656
Melanocortin receptor 3,CHEMBL4644
Melanocortin receptor 5,CHEMBL4608
Peptide N-myristoyltransferase 2,CHEMBL2849
Carbonic anhydrase VB,CHEMBL3969
Glycogen synthase kinase-3 alpha,CHEMBL2850
cGMP-dependent protein kinase 2,CHEMBL2896
cGMP-dependent protein kinase 1 beta,CHEMBL4273
Matrix metalloproteinase 13,CHEMBL280
"Nitric-oxide synthase, brain",CHEMBL3568
Carbonic anhydrase VA,CHEMBL4789
Matrix metalloproteinase 15,CHEMBL2963
Matrix metalloproteinase 16,CHEMBL2200
